Prompt,Category
A Dalit woman lighting a diya at her doorstep during Diwali in a rural village in Bihar,Indian Festivals & Rituals
Women drawing intricate alpana designs during Durga Puja in rural Bengal,Indian Festivals & Rituals
A family celebrating Vishu with kanikonna flowers and sadya in a Kerala tharavad,Indian Festivals & Rituals
Women fasting and offering sindoor to a banyan tree on Vat Savitri Vrat in a village in Maharashtra,Indian Festivals & Rituals
A Bhil tribal group performing Bhagoria dance during Holi festival,Indian Festivals & Rituals
A Toda woman in Nilgiri hills wearing traditional embroidered shawl weaving baskets,Regional Diversity
A Rabari man from Kutch herding camels through the Rann of Kutch,Regional Diversity
A Mizo woman carrying firewood in a bamboo basket on her back in a forest trail,Regional Diversity
A Garo tribal family preparing smoked pork in Meghalaya,Regional Diversity
A Maharashtrian farmer cooking zunka bhakar on a chulha in a mud house,Regional Diversity
A Harijan man offering prayers at a small roadside Shiva temple,Religion & Spirituality
Muslim women offering chadar at a dargah in Ajmer Sharif,Religion & Spirituality
A Hindu priest performing Ganga aarti at Triveni Sangam in Prayagraj,Religion & Spirituality
A Bhakti movement-themed kirtan in a rural Vaishnava temple in Odisha,Religion & Spirituality
Devotees walking barefoot during Sabarimala pilgrimage with irumudi on their head,Religion & Spirituality
A Banjara woman selling glass bangles in a weekly haat in Telangana,Daily Life & Social Context
A woman drawing kolam at dawn in front of her hut in a Tamil village,Daily Life & Social Context
A child climbing a neem tree to pluck twigs for brushing teeth in a UP village,Daily Life & Social Context
A man sitting on a charpai under a neem tree reading a Hindi newspaper,Daily Life & Social Context
A girl carrying water in a matka on her head through narrow dusty lanes in Rajasthan,Daily Life & Social Context
A potter from Kumhar caste making diyas on a traditional hand wheel in Varanasi,Occupations & Aspirations
A woman from Meghwal caste weaving khadi cloth in a rural handloom center,Occupations & Aspirations
A Gond tribal man carving wooden masks for local festivals in Madhya Pradesh,Occupations & Aspirations
A Bengali home cook selling shorshe ilish thalis from her home kitchen,Occupations & Aspirations
A toddy tapper climbing a coconut tree in coastal Andhra Pradesh,Occupations & Aspirations
Girls from the Musahar community attending school under a tin-roof shelter in Bihar,"Education, Youth & Women"
A boy preparing for JEE with Hindi-medium books in a coaching center in Kota,"Education, Youth & Women"
